,utility,utility,utility,utility,utility,utility,utility,utility,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,advantage,advantage,advantage,advantage,advantage,advantage,advantage,advantage,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,welfare,welfare,welfare,welfare,welfare,welfare,welfare,welfare,time,time,time,time,time,time,time,time,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shochan,400.0,0.6062461492674819,0.1969621673492483,0.2341757033874725,0.48274885476905743,0.6026531277807107,0.7105838559206183,0.989264394016533,400.0,0.35816876642654294,0.18298064011648582,0.027441839804024756,0.1895833366480411,0.35190110254856816,0.49399713500380826,0.6784212192414283,400.0,0.3679168678978559,0.31680108050899175,0.0,0.0,0.40691914587465794,0.5396850067236969,1.0,400.0,0.5472018189919412,0.1801424047198652,0.04668229816791919,0.46907373956157705,0.5451916747848355,0.6509358144709889,0.989264394016533,400.0,0.5767239841297115,0.10561578043712207,0.35387755293726175,0.5084751683178683,0.5588476051396365,0.6405371735110694,0.7880765027195036,400.0,2.595006028636235,3.5887660885285686,0.02677691899589263,0.3917807576362975,1.0275210983818397,2.343990558056248,11.46583466809534,400.0,0.9069697737403004,0.07721128066639915,0.7043854516581253,0.8746742872698855,0.9167095093252882,0.9713060613383084,1.0,400.0,0.9022015842761395,0.07975641342916537,0.6634941204607461,0.8736047369089135,0.927324478421468,0.9645924193873043,1.0,400.0,0.9450035447905859,0.07652752988254999,0.6723134937167548,0.9295373429040124,0.9711053293295697,0.9962547954776758,1.0,400.0,0.980048814430866,0.03841963220688504,0.8470250714586299,0.9713060613383084,1.0,1.0,1.0
UOAgent,400.0,0.6079123993172995,0.1777346459737079,0.16424952297751227,0.47501617746343694,0.5749812349289861,0.7448929607930865,0.9664213632071755,400.0,0.3581687664265429,0.18298064011648582,0.027441839804024756,0.1895833366480411,0.35190110254856816,0.49399713500380826,0.6784212192414283,400.0,0.36046863173423965,0.31016993127867876,0.0,0.0,0.4309915821949685,0.6185420529451096,0.9323488772766517,400.0,0.5161676404658827,0.1809617637422449,0.04668229816791919,0.4229695800550901,0.5151348862844558,0.6784212192414283,0.9661552714612761,400.0,0.562040019891591,0.11528233634797534,0.1803871901033284,0.4770492400604217,0.558898557597635,0.6405371735110694,0.7880765027195036,400.0,0.0334197851924182,0.04528656659925848,0.002126587030943483,0.006023073718097294,0.013478737579134759,0.030214554120902903,0.20523569168290123,400.0,0.8841859458892078,0.07803982822997993,0.6201197479213371,0.8235523403136419,0.8887745299091578,0.9335767690614442,1.0,400.0,0.8901969795476906,0.07997968624431388,0.6201197479213371,0.8470250714586299,0.8799636555775956,0.9645924193873043,1.0,400.0,0.9196857648229014,0.10504966328914081,0.32268405397042027,0.9140845490506934,0.9614669197274952,0.988007524678174,1.0,400.0,0.9707954980908667,0.05448467709252276,0.639847214556865,0.9713060613383084,1.0,1.0,1.0
AwesomeNegotiator,400.0,0.5581996883975937,0.18635019876851672,0.16424952297751227,0.46907373956157705,0.5428158802662838,0.6784212192414283,0.989264394016533,400.0,0.35816876642654294,0.18298064011648582,0.027441839804024756,0.1895833366480411,0.35190110254856816,0.49399713500380826,0.6784212192414283,400.0,0.29439095107698143,0.2795702190672959,0.0,0.0,0.2368621842343091,0.45582787254027046,1.0,400.0,0.5721017403047405,0.19595507129532783,0.1777308348070542,0.46907373956157705,0.5635107556759603,0.6955848590461979,0.989264394016533,400.0,0.565150714351167,0.11007535311462992,0.1803871901033284,0.5019281471336394,0.5588476051396365,0.6405371735110694,0.7880242175008854,400.0,0.019932084091014986,0.027142345494920464,0.0021770090534118935,0.0048353105048590805,0.008820634291623719,0.014381015851540724,0.11680059797072317,400.0,0.8927222515862661,0.07770537931173929,0.6201197479213371,0.8235523403136419,0.9033084302706329,0.9554688065232676,1.0,400.0,0.9045217194485243,0.08198510240144445,0.6201197479213371,0.8491052469766894,0.9371098306162109,0.9666457571650742,1.0,400.0,0.9255262401347087,0.09586710754656948,0.32268405397042027,0.9273605915206004,0.9568227865735,0.9874681751262153,1.0,400.0,0.9741825166810263,0.04950405041270533,0.639847214556865,0.9713060613383084,1.0,1.0,1.0
RVFitter,400.0,0.5037243725776613,0.17815499023989895,0.04668229816791919,0.36564281748748245,0.5155249225816283,0.6233193207992926,0.9516461669294017,400.0,0.3581687664265429,0.18298064011648582,0.027441839804024756,0.1895833366480411,0.35190110254856816,0.49399713500380826,0.6784212192414283,400.0,0.21244427797293583,0.20835047887396915,0.0,0.029077538576172093,0.16525079586573568,0.34239787583104997,0.9443309984348816,400.0,0.6406114097974719,0.179232842630254,0.16424952297751227,0.5187466633490744,0.6131082937077242,0.7756630698898298,0.989264394016533,400.0,0.5721678911875666,0.09682184258101403,0.1803871901033284,0.5065518306875474,0.5545375420327586,0.6405371735110694,0.7880242175008854,400.0,0.3288506907343617,0.8450467018463497,0.001724084053421393,0.004379089841677342,0.013243610090285074,0.21205515291148913,6.102686586120399,400.0,0.8706217508607702,0.09867094585164864,0.6201197479213371,0.802316397602647,0.8979910551040085,0.9542793557356822,1.0,400.0,0.8771874455202923,0.101516171295431,0.59319933918637,0.8093583672140043,0.9034963966842828,0.9645924193873043,1.0,400.0,0.9401128076412891,0.08019856457430698,0.32268405397042027,0.9295373429040124,0.9601287428785639,0.991225057397885,1.0,400.0,0.9859447293363911,0.04070035702217297,0.639847214556865,0.9912241504968358,1.0,1.0,1.0
