index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
29,Shochan,0.7823227690580122,0.5611273150736306,0.5040082501864797,0.315308153134893,0.5488154610964526,S0,AwesomeNegotiator,0.6562678499758476,nC1by5Naf,False,False,False,,-8714848725672407424,0.9860007775949089,0.9654603291457927,0.9384949605259779,1.0
30,AwesomeNegotiator,0.47949446486985325,0.19652485722914453,0.35218215546141585,0.6383678573311099,0.5589311611004816,S4,Shochan,0.0024688780831638724,nFYrQMCHK,False,False,False,,-7648401443628883483,0.9366459727114498,0.9366459727114498,0.9998391396361664,1.0
31,Shochan,0.6383678573311099,0.16424952297751227,0.5672965165903703,0.47949446486985325,0.5589311611004816,S4,AwesomeNegotiator,0.11218778303009458,nOzbCDFwZ,False,False,False,,-7648401443628883483,0.9366459727114498,0.9366459727114498,0.9998391396361664,1.0
32,Shochan,0.989264394016533,0.47816550427842364,1.0,0.5035645801651734,0.7464144870908531,S1,Shochan,0.028603462036699057,nnLpXCJTw,False,False,False,,1044321822926026385,1.0,0.8995156070764436,1.0,1.0
33,Shochan,0.5035645801651734,0.16875877490473085,0.40691914587465794,0.989264394016533,0.7464144870908531,S1,Shochan,0.05820783000672236,nYcCM9sif,False,False,False,,1044321822926026385,1.0,0.8995156070764436,1.0,1.0
34,AwesomeNegotiator,0.9892530450686835,0.5209143183374337,1.0,0.5191116553193436,0.7541823501940135,S6,AwesomeNegotiator,0.013766765347099863,n0N7WcG6C,False,False,False,,-7333925265772707804,0.8875237935827867,0.9520328562744398,0.9568227865735,1.0
35,AwesomeNegotiator,0.5191116553193436,0.13140475186614992,0.44636084025313144,0.9892530450686835,0.7541823501940135,S6,AwesomeNegotiator,0.011931759960134514,n1bNxBAzs,False,False,False,,-7333925265772707804,0.8875237935827867,0.9520328562744398,0.9568227865735,1.0
36,AwesomeNegotiator,0.35268865485386275,0.2341757033874725,0.1548441056501998,0.6955848590461979,0.5241367569500304,DivideThePies8,Shochan,0.006141993988421746,nDBAG4yU0,False,False,False,,3473732388285682421,0.9966382835547042,0.9386469902195493,0.995780069477642,1.0
37,Shochan,0.6955848590461979,0.47357940248705105,0.42172866787721547,0.35268865485386275,0.5241367569500304,DivideThePies8,AwesomeNegotiator,0.4059372390329372,nnR7r5HxX,False,False,False,,3473732388285682421,0.9966382835547042,0.9386469902195493,0.995780069477642,1.0
38,UOAgent,0.8106015158434796,0.5209143183374337,0.6185420529451096,0.7655514895955274,0.7880765027195036,S6,UOAgent,0.011664101592032239,nGtQ4jh4u,False,False,False,,8969928687485858644,0.8953816200486371,0.831033573023155,0.999823922120684,1.0
39,UOAgent,0.7655514895955274,0.13140475186614992,0.7300831328396493,0.8106015158434796,0.7880765027195036,S6,UOAgent,0.06725761388952378,nSwWke8Qx,False,False,False,,8969928687485858644,0.8953816200486371,0.831033573023155,0.999823922120684,1.0
40,RVFitter,0.5232661981372162,0.5209143183374337,0.005021749570438705,0.9516461669294017,0.737456182533309,S6,RVFitter,0.6942046740441583,nJIlds5dL,False,False,False,,2859057781746163451,0.6550795207403879,0.59319933918637,0.9356024830942502,1.0
41,RVFitter,0.9516461669294017,0.13140475186614992,0.9443309984348816,0.5232661981372162,0.737456182533309,S6,RVFitter,0.012230732187163085,ntrQyYAdr,False,False,False,,2859057781746163451,0.6550795207403879,0.59319933918637,0.9356024830942502,1.0
42,AwesomeNegotiator,0.6200738370863254,0.5209143183374337,0.21172607151445977,0.9108063004624194,0.7654400687743723,S6,Shochan,0.021172737368033268,nBHmmG7KB,False,False,False,,-2547589073294818127,0.7265185851220188,0.6634941204607461,0.9711053293295697,1.0
43,Shochan,0.9108063004624194,0.13140475186614992,0.8973127045905764,0.6200738370863254,0.7654400687743723,S6,AwesomeNegotiator,2.3435433487175032,n9jE3Botn,False,False,False,,-2547589073294818127,0.7265185851220188,0.6634941204607461,0.9711053293295697,1.0
44,RVFitter,0.34882170699522136,0.19652485722914453,0.18954768064244973,0.7575820742062477,0.5532018906007345,S4,RVFitter,0.008749913147767074,nxTTHcgnL,False,False,False,,-8227658752940639045,0.8116163412502516,0.8116163412502516,0.989590384000622,0.9918108698676061
45,RVFitter,0.7575820742062477,0.16424952297751227,0.7099398295799841,0.34882170699522136,0.5532018906007345,S4,RVFitter,0.01287087301898282,ntUAMWZ2M,False,False,False,,-8227658752940639045,0.8116163412502516,0.8116163412502516,0.989590384000622,0.9918108698676061
46,Shochan,0.6784212192414283,0.6784212192414283,0.0,0.6026531277807107,0.6405371735110694,DivideThePies7,AwesomeNegotiator,0.33342375193024054,nIqYWZtnU,False,False,False,,8190685004105853931,0.9335767690614442,0.9645924193873043,0.9295373429040124,0.9712353725454931
47,AwesomeNegotiator,0.6026531277807107,0.6026531277807107,0.0,0.6784212192414283,0.6405371735110694,DivideThePies7,Shochan,0.00786467811849434,nlik1OQOX,False,False,False,,8190685004105853931,0.9335767690614442,0.9645924193873043,0.9295373429040124,0.9712353725454931
48,UOAgent,0.35268865485386275,0.2341757033874725,0.1548441056501998,0.6955848590461979,0.5241367569500304,DivideThePies8,Shochan,0.008112170136882924,nP9O7tSCg,False,False,False,,4812240124313940750,0.9966382835547042,0.9386469902195493,0.995780069477642,1.0
49,Shochan,0.6955848590461979,0.47357940248705105,0.42172866787721547,0.35268865485386275,0.5241367569500304,DivideThePies8,UOAgent,0.43480919403373264,nqO1uh3L8,False,False,False,,4812240124313940750,0.9966382835547042,0.9386469902195493,0.995780069477642,1.0
50,UOAgent,0.46907373956157705,0.46907373956157705,0.0,0.4850247405592664,0.4770492400604217,S5,RVFitter,0.012923211921588518,n7DX6yrz3,False,False,False,,5520397889000824523,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
51,RVFitter,0.4850247405592664,0.4850247405592664,0.0,0.46907373956157705,0.4770492400604217,S5,UOAgent,0.2107921788992826,nZGuENg7i,False,False,False,,5520397889000824523,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
52,RVFitter,0.45048903254722683,0.34365556411290143,0.16525079586573568,0.7309115393666626,0.5907002859569448,DivideThePies3,UOAgent,2.246679889954976,nn9aINtii,False,False,False,,1573242104429207594,0.8134950327051294,0.8125244378855501,0.9994606504480416,1.0
53,UOAgent,0.7309115393666626,0.24015350268590402,0.6715393715847984,0.45048903254722683,0.5907002859569448,DivideThePies3,RVFitter,0.11780771236226428,nqP885eiB,False,False,False,,1573242104429207594,0.8134950327051294,0.8125244378855501,0.9994606504480416,1.0
54,RVFitter,0.3721857714838551,0.3601466409842349,0.01881545252515212,0.5303956931875464,0.4512907323357008,S9,Shochan,0.22132581018377095,nljgLqM3u,False,False,False,,-1970187880298825143,0.8202234383182256,0.7961688232065594,0.8697698347283511,0.9440607706652723
55,Shochan,0.5303956931875464,0.1373045019914979,0.4556546221737377,0.3721857714838551,0.4512907323357008,S9,RVFitter,11.279623685593833,nDQwUjotr,False,False,False,,-1970187880298825143,0.8202234383182256,0.7961688232065594,0.8697698347283511,0.9440607706652723
56,AwesomeNegotiator,0.3270895455918036,0.3270895455918036,0.0,0.5635107556759603,0.44530015063388195,S2,AwesomeNegotiator,0.01149729713506531,nT1i3PuvB,False,False,False,,1802297309363684741,0.8746742872698855,0.8799636555775956,0.7610066855988639,0.8812375059402838
57,AwesomeNegotiator,0.5635107556759603,0.5635107556759603,0.0,0.3270895455918036,0.44530015063388195,S2,AwesomeNegotiator,0.010064180896733887,ncqVguBJX,False,False,False,,1802297309363684741,0.8746742872698855,0.8799636555775956,0.7610066855988639,0.8812375059402838
58,RVFitter,0.6660660739722915,0.34365556411290143,0.4987069513941149,0.4520214904832178,0.5590437822277546,DivideThePies3,RVFitter,2.1162090038415045,nKyka3lqt,False,False,False,,-3009703325599169967,0.899262757997761,0.900201207033262,0.9458980730119552,1.0
59,RVFitter,0.4520214904832178,0.24015350268590402,0.28991414251030684,0.6660660739722915,0.5590437822277546,DivideThePies3,RVFitter,0.7129898637213046,nqRNgzxZx,False,False,False,,-3009703325599169967,0.899262757997761,0.900201207033262,0.9458980730119552,1.0
60,AwesomeNegotiator,0.6725529687959012,0.19652485722914453,0.59246152895923,0.2873193499919745,0.47993615939393786,S4,RVFitter,0.002228583034593612,nYGv6G5ZS,False,False,False,,-1429985369636890350,0.7768620693543382,0.7768620693543382,0.8585296188244806,0.9875166370620928
61,RVFitter,0.2873193499919745,0.16424952297751227,0.14725666379865046,0.6725529687959012,0.47993615939393786,S4,AwesomeNegotiator,0.0024154570855898783,ncUWCnsKP,False,False,False,,-1429985369636890350,0.7768620693543382,0.7768620693543382,0.8585296188244806,0.9875166370620928
62,UOAgent,0.7078010021705415,0.6784212192414283,0.0962685198564956,0.6309845597197563,0.669392780945149,DivideThePies7,RVFitter,0.0059366362111177295,nB6WLLMMq,False,False,False,,-7610753626227099613,0.9624479798722889,1.0,0.9714121407633313,1.0
63,RVFitter,0.6309845597197563,0.6026531277807107,0.07133531956851631,0.7078010021705415,0.669392780945149,DivideThePies7,UOAgent,0.004980661848094314,no8bD1N4a,False,False,False,,-7610753626227099613,0.9624479798722889,1.0,0.9714121407633313,1.0
64,RVFitter,0.8708166853539767,0.47816550427842364,0.7682489415634425,0.5438058069089924,0.7073112461314846,S1,Shochan,0.0019385830237297341,n5DdHHrJm,False,False,False,,8216583185462319201,0.9106187736444711,0.9888965475828656,0.9476118944156976,1.0
65,Shochan,0.5438058069089924,0.16875877490473085,0.45582787254027046,0.8708166853539767,0.7073112461314846,S1,RVFitter,0.05356537199986633,nEzv7FYfP,False,False,False,,8216583185462319201,0.9106187736444711,0.9888965475828656,0.9476118944156976,1.0
66,UOAgent,0.8106015158434796,0.5209143183374337,0.6185420529451096,0.7655514895955274,0.7880765027195036,S6,Shochan,0.01473057827388402,naQNnNr6i,False,False,False,,-3134939559925921649,0.8953816200486371,0.831033573023155,0.999823922120684,1.0
67,Shochan,0.7655514895955274,0.13140475186614992,0.7300831328396493,0.8106015158434796,0.7880765027195036,S6,UOAgent,2.4156291628896724,ns7uU0MjT,False,False,False,,-3134939559925921649,0.8953816200486371,0.831033573023155,0.999823922120684,1.0
68,AwesomeNegotiator,0.46907373956157705,0.46907373956157705,0.0,0.4850247405592664,0.4770492400604217,S5,Shochan,0.010531581559916958,nxvMgjMoD,False,False,False,,2026946938054574191,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
69,Shochan,0.4850247405592664,0.4850247405592664,0.0,0.46907373956157705,0.4770492400604217,S5,AwesomeNegotiator,1.3691501420980785,nbqzFJtIE,False,False,False,,2026946938054574191,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
70,UOAgent,0.7705462236916267,0.3601466409842349,0.6413963088959578,0.23929683461520662,0.5049215291534167,S9,Shochan,0.10309002010035329,nm7cDvz0L,False,False,False,,-8701892554460932769,0.8235523403136419,0.849464860038707,0.9731321374352362,1.0
71,Shochan,0.23929683461520662,0.1373045019914979,0.1182251824185404,0.7705462236916267,0.5049215291534167,S9,UOAgent,11.291838687611744,nIFNRVYVU,False,False,False,,-8701892554460932769,0.8235523403136419,0.849464860038707,0.9731321374352362,1.0
72,Shochan,0.45048903254722683,0.34365556411290143,0.16525079586573568,0.7309115393666626,0.5907002859569448,DivideThePies3,UOAgent,7.090604772849474,nPTjA5NCp,False,False,False,,4791664454312550783,0.8134950327051294,0.8125244378855501,0.9994606504480416,1.0
