index,running,waiting,started,step,time,relative_time,broken,timedout,agreement,results,n_negotiators,has_error,error_details,erred_negotiator,erred_agent,threads,last_thread,current_offer,current_proposer,current_proposer_agent,n_acceptances,new_offers,new_offerer_agents,last_negotiator,utilities,max_utils,reserved_values,partners,params,run_id,execution_time,negotiator_names,negotiator_ids,negotiator_types,negotiator_times,n_steps,time_limit,pend,pend_per_second,step_time_limit,negotiator_time_limit,annotation,scenario,mechanism_name,mechanism_type,effective_scenario_name,last_step,last_time,rep,n_repetitions,pareto_optimality,nash_optimality,kalai_optimality,modified_kalai_optimality,max_welfare_optimality,__weakref__
10,False,False,True,1771,0.2319559589959681,0.9036206017338093,False,False,"('v4', 'v9', 'v1')",,2,False,,,,{},,"['v4', 'v9', 'v1']",n6p2b8wSG,,2,"[['n6p2b8wSG', ['v4', 'v9', 'v1']]]",[None],RVFitter@0,"(0.5213956570697745, 0.5966919073857347)","[0.9901484773520384, 0.9709491305321089]","(0.34365556411290143, 0.24015350268590402)","['RVFitter', 'AwesomeNegotiator']",,7528311771524023090,0.23199966599349864,"['RVFitter@0', 'AwesomeNegotiator@1']","['n6p2b8wSG', 'n1flNxGpr']","['anl.anl2024.negotiators.builtins.rv_fitter.RVFitter', '__main__.AwesomeNegotiator']","[0.04530228953808546, 0.101788433486945]",1960,inf,0,0,inf,inf,"{'rep': 4, 'n_repetitions': 5}",DivideThePies3,7528311771524023090,negmas.sao.mechanism.SAOMechanism,7528311771524023090,1771,0.2319559589959681,4,5,1.0,0.9211824427857431,0.9203587009569867,0.9480550199890612,0.9458980730119552,
11,False,False,True,4591,0.29422904099919833,0.990722761596548,False,False,"('133_866',)",,2,False,,,,{},,['133_866'],nolyyasrK,,2,"[['nolyyasrK', ['133_866']]]",[None],AwesomeNegotiator@0,"(0.8261254594602245, 0.1777308348070542)","[1.0, 1.0]","(0.3601466409842349, 0.1373045019914979)","['AwesomeNegotiator', 'AwesomeNegotiator']",,6834817345370931816,0.29427770800248254,"['AwesomeNegotiator@0', 'AwesomeNegotiator@1']","['nolyyasrK', 'nLKYbVnZl']","['__main__.AwesomeNegotiator', '__main__.AwesomeNegotiator']","[0.050027012403006665, 0.04487276537111029]",4634,inf,0,0,inf,inf,"{'rep': 2, 'n_repetitions': 5}",S9,6834817345370931816,negmas.sao.mechanism.SAOMechanism,6834817345370931816,4591,0.29422904099919833,2,5,1.0,0.7649032832837168,0.790815803008782,0.6774714201522156,0.9673630107989645,
12,False,False,True,48,0.006992167007410899,0.8909090909090909,False,False,"('848_151',)",,2,False,,,,{},,['848_151'],nc2BIJD0a,,2,"[['nc2BIJD0a', ['848_151']]]",[None],RVFitter@0,"(0.4813374400882444, 0.6365229842572333)","[1.0, 1.0]","(0.19652485722914453, 0.16424952297751227)","['RVFitter', 'AwesomeNegotiator']",,-7067159346129367924,0.007037333998596296,"['RVFitter@0', 'AwesomeNegotiator@1']","['nc2BIJD0a', 'njTMLEwby']","['anl.anl2024.negotiators.builtins.rv_fitter.RVFitter', '__main__.AwesomeNegotiator']","[0.002385715939453803, 0.0023592909856233746]",54,inf,0,0,inf,inf,"{'rep': 1, 'n_repetitions': 5}",S4,-7067159346129367924,negmas.sao.mechanism.SAOMechanism,-7067159346129367924,48,0.006992167007410899,1,5,1.0,0.9384898971017541,0.9384898971017541,0.9384898971017541,0.9998374421550383,
13,False,False,True,230,0.845692583010532,1.0,False,True,,,2,False,,,,{},,"['v2', 'v1', 'v7']",ne1ACNJJF,,1,"[['nltXfa0FT', ['v10', 'v1', 'v6']], ['ne1ACNJJF', ['v2', 'v1', 'v7']]]","[None, None]",Shochan@1,"(0.6784212192414283, 0.6026531277807107)","[0.9836069951618305, 0.9998116757540438]","(0.6784212192414283, 0.6026531277807107)","['Shochan', 'Shochan']",,2099999734761290830,0.8457531669992022,"['Shochan@0', 'Shochan@1']","['nltXfa0FT', 'ne1ACNJJF']","['myagent.helpers.shocan.Shochan', 'myagent.helpers.shocan.Shochan']","[0.36947554994549137, 0.4623186367971357]",230,inf,0,0,inf,inf,"{'rep': 3, 'n_repetitions': 5}",DivideThePies7,2099999734761290830,negmas.sao.mechanism.SAOMechanism,2099999734761290830,230,0.845692583010532,3,5,0.9712353725454931,0.9335767690614442,0.9645924193873043,0.9650859009231038,0.9295373429040124,
14,False,False,True,289,0.6784416250011418,0.9965635738831615,False,False,"('418_581',)",,2,False,,,,{},,['418_581'],nC1by5Naf,,2,[],"[None, None]",Shochan@1,"(0.315308153134893, 0.7823227690580122)","[1.0, 1.0]","(0.027441839804024756, 0.5611273150736306)","['AwesomeNegotiator', 'Shochan']",,-8714848725672407424,0.678482792005525,"['AwesomeNegotiator@0', 'Shochan@1']","['nZiBElFP9', 'nC1by5Naf']","['__main__.AwesomeNegotiator', 'myagent.helpers.shocan.Shochan']","[0.006125680942204781, 0.6562678499758476]",290,inf,0,0,inf,inf,"{'rep': 0, 'n_repetitions': 5}",S0,-8714848725672407424,negmas.sao.mechanism.SAOMechanism,-8714848725672407424,289,0.6784416250011418,0,5,1.0,0.9860007775949089,0.9654603291457927,0.7648545379936267,0.9384949605259779,
15,False,False,True,53,0.11782912499620579,0.9818181818181818,False,False,"('751_248',)",,2,False,,,,{},,['751_248'],nOzbCDFwZ,,2,[],"[None, None]",Shochan@1,"(0.47949446486985325, 0.6383678573311099)","[1.0, 1.0]","(0.19652485722914453, 0.16424952297751227)","['AwesomeNegotiator', 'Shochan']",,-7648401443628883483,0.11788266600342467,"['AwesomeNegotiator@0', 'Shochan@1']","['nFYrQMCHK', 'nOzbCDFwZ']","['__main__.AwesomeNegotiator', 'myagent.helpers.shocan.Shochan']","[0.0024688780831638724, 0.11218778303009458]",54,inf,0,0,inf,inf,"{'rep': 4, 'n_repetitions': 5}",S4,-7648401443628883483,negmas.sao.mechanism.SAOMechanism,-7648401443628883483,53,0.11782912499620579,4,5,1.0,0.9366459727114498,0.9366459727114498,0.9366459727114498,0.9998391396361664,
16,False,False,True,13,0.08768150000832975,1.0,False,False,"('627_372',)",,2,False,,,,{},,['627_372'],nYcCM9sif,,2,[],"[None, None]",Shochan@1,"(0.989264394016533, 0.5035645801651734)","[0.989264394016533, 0.9915409139480771]","(0.47816550427842364, 0.16875877490473085)","['Shochan', 'Shochan']",,1044321822926026385,0.08773045799171086,"['Shochan@0', 'Shochan@1']","['nnLpXCJTw', 'nYcCM9sif']","['myagent.helpers.shocan.Shochan', 'myagent.helpers.shocan.Shochan']","[0.028603462036699057, 0.05820783000672236]",13,inf,0,0,inf,inf,"{'rep': 2, 'n_repetitions': 5}",S1,1044321822926026385,negmas.sao.mechanism.SAOMechanism,1044321822926026385,13,0.08768150000832975,2,5,1.0,1.0,0.8995156070764436,0.7267523998965182,1.0,
17,False,False,True,627,0.053853291989071295,0.8907801418439716,False,False,"('902_97',)",,2,False,,,,{},,['902_97'],n0N7WcG6C,,2,"[['n0N7WcG6C', ['902_97']]]",[None],AwesomeNegotiator@0,"(0.9892530450686835, 0.5191116553193436)","[0.9892530450686835, 0.9999999969896354]","(0.5209143183374337, 0.13140475186614992)","['AwesomeNegotiator', 'AwesomeNegotiator']",,-7333925265772707804,0.053896667013759725,"['AwesomeNegotiator@0', 'AwesomeNegotiator@1']","['n0N7WcG6C', 'n1bNxBAzs']","['__main__.AwesomeNegotiator', '__main__.AwesomeNegotiator']","[0.013766765347099863, 0.011931759960134514]",704,inf,0,0,inf,inf,"{'rep': 4, 'n_repetitions': 5}",S6,-7333925265772707804,negmas.sao.mechanism.SAOMechanism,-7333925265772707804,627,0.053853291989071295,4,5,1.0,0.8875237935827867,0.9520328562744398,0.7550091625667729,0.9568227865735,
18,False,False,True,115,0.41911224999057595,0.9914529914529915,False,False,"('v1', 'v4', 'v4')",,2,False,,,,{},,"['v1', 'v4', 'v4']",nnR7r5HxX,,2,[],"[None, None]",Shochan@1,"(0.35268865485386275, 0.6955848590461979)","[0.9995451759208128, 0.9999971527353761]","(0.2341757033874725, 0.47357940248705105)","['AwesomeNegotiator', 'Shochan']",,3473732388285682421,0.4191585000080522,"['AwesomeNegotiator@0', 'Shochan@1']","['nDBAG4yU0', 'nnR7r5HxX']","['__main__.AwesomeNegotiator', 'myagent.helpers.shocan.Shochan']","[0.006141993988421746, 0.4059372390329372]",116,inf,0,0,inf,inf,"{'rep': 2, 'n_repetitions': 5}",DivideThePies8,3473732388285682421,negmas.sao.mechanism.SAOMechanism,3473732388285682421,115,0.41911224999057595,2,5,1.0,0.9966382835547042,0.9386469902195493,0.8312215409913803,0.995780069477642,
19,False,False,True,688,0.1095349169918336,0.9773049645390071,False,False,"('689_310',)",,2,False,,,,{},,['689_310'],nGtQ4jh4u,,2,"[['nGtQ4jh4u', ['689_310']]]",[None],UOAgent@0,"(0.8106015158434796, 0.7655514895955274)","[0.9892530450686835, 0.9999999969896354]","(0.5209143183374337, 0.13140475186614992)","['UOAgent', 'UOAgent']",,8969928687485858644,0.1095828329998767,"['UOAgent@0', 'UOAgent@1']","['nGtQ4jh4u', 'nSwWke8Qx']","['myagent.helpers.uoagents.UOAgent', 'myagent.helpers.uoagents.UOAgent']","[0.011664101592032239, 0.06725761388952378]",704,inf,0,0,inf,inf,"{'rep': 4, 'n_repetitions': 5}",S6,8969928687485858644,negmas.sao.mechanism.SAOMechanism,8969928687485858644,688,0.1095349169918336,4,5,1.0,0.8953816200486371,0.831033573023155,0.9713757319410066,0.999823922120684,
